"Response ID","Time Started","Date Submitted","Status","Contact ID","Legacy Comments","Comments","Language","Referer","Extended Referer","SessionID","User Agent","Extended User Agent","Tags","IP Address","Longitude","Latitude","Country","City","State/Region","Postal","Your participant ID:","Your age:","Gender:","Your nationality:","Others, please specify:Your nationality:","Your native language:","Others, please specify:Your native language:","Your education level:","Your occupation:","Your proficiency of writing English:","Your frequency of using Email in your daily work and life:","1. In the last month, how often have you been upset because of something that happened unexpectedly?","2. In the last month, how often have you felt that you were unable to control the important things in your life?","3. In the last month, how often have you felt nervous and stressed?","4. In the last month, how often have you felt confident about your ability to handle your personal problems?","5. In the last month, how often have you felt that things were going your way?","6. In the last month, how often have you found that you could not cope with all the things that you had to do?","7. In the last month, how often have you been able to control irritations in your life?","8. In the last month, how often have you felt that you were on top of things?","9. In the last month, how often have you been angered because of things that were outside of your control?","10. In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?"
"47","Jun 28, 2018 1:44:56 pm","Jun 28, 2018 1:45:51 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T166","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T166","1530207867_5b351e7badcb53.40107513","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36","","128.195.50.245","-117.76940155029","33.640300750732","United States","Irvine","CA","92697","T166","21","2","1","","1","","2","1","7","5","2","3","3","2","2","3","2","2","2","2"
"48","Jun 28, 2018 2:23:02 pm","Jun 28, 2018 2:25:19 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T094","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T094","1530210135_5b35275788d7d3.78682113","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.194.142.236","-96.321701049805","30.61310005188","United States","College Station","TX","77840","T094","20","2","2","Nigeria","1","","2","1","7","5","0","0","2","3","3","1","3","2","1","1"
"49","Jun 28, 2018 4:28:01 pm","Jun 28, 2018 4:29:14 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T109","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T109","1530217651_5b3544b3d0f986.53513623","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.194.142.236","-96.321701049805","30.61310005188","United States","College Station","TX","77840","T109","21","2","1","","1","","3","2","7","7","2","1","2","3","3","2","3","3","2","2"
"50","Jun 28, 2018 7:00:50 pm","Jun 28, 2018 7:02:32 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T156","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T156","1530226800_5b3568703093e3.39355320","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36","","128.195.50.245","-117.76940155029","33.640300750732","United States","Irvine","CA","92697","T156","27","2","1","","1","","1","1","7","4","3","3","4","3","3","2","3","2","2","1"
"51","Jun 29, 2018 2:10:23 pm","Jun 29, 2018 2:12:04 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T079","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T079","1530295785_5b3675e9735421.71208382","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36","","128.194.142.236","-96.283699035645","30.566999435425","United States","College Station","TX","77845","T079","23","2","1","","1","","2","1","7","7","1","1","2","4","3","0","3","2","2","0"
"52","Jun 29, 2018 2:59:15 pm","Jun 29, 2018 3:00:28 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T009","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T009","1530298716_5b36815c750ac5.12320390","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36","","129.7.106.83","-95.434196472168","29.833999633789","United States","Houston","TX","77204","T009","20","2","1","","1","","2","1","7","6","2","2","4","3","2","2","2","2","1","2"
"53","Jun 30, 2018 1:34:56 pm","Jun 30, 2018 1:36:17 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T139","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T139","1530380056_5b37bf18a94165.42682847","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36","","128.195.50.245","-117.76940155029","33.640300750732","United States","Irvine","CA","92697","T139","19","1","1","","1","","2","1","7","4","2","3","3","3","2","0","4","2","2","3"
"54","Jul 2, 2018 1:35:55 pm","Jul 2, 2018 1:37:31 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T124","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T124","1530552919_5b3a6257cc9534.92422035","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36","","128.195.50.245","-117.76940155029","33.640300750732","United States","Irvine","CA","92697","T124","19","2","1","","1","","1","1","7","7","1","2","3","2","1","2","2","2","1","2"
"55","Jul 2, 2018 4:35:56 pm","Jul 2, 2018 4:37:05 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T064","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T064","1530563724_5b3a8c8ce12fb6.88130582","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36","","128.194.142.236","-96.283699035645","30.566999435425","United States","College Station","TX","77845","T064","52","2","1","","1","","1","3","7","7","2","0","1","3","3","0","4","3","2","0"
"56","Jul 2, 2018 4:43:46 pm","Jul 2, 2018 4:44:52 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T126","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T126","1530564184_5b3a8e5818e931.05471000","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36","","128.195.50.245","-117.76940155029","33.640300750732","United States","Irvine","CA","92697","T126","18","2","1","","1","","2","1","7","6","3","2","3","2","1","3","2","1","2","3"
"57","Jul 3, 2018 11:40:40 am","Jul 3, 2018 11:41:30 am","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T065","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T065","1530632412_5b3b98dc1220a2.46907956","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36","","128.194.142.236","-96.283699035645","30.566999435425","United States","College Station","TX","77845","T065","28","2","1","","1","","2","2","7","7","2","2","2","3","1","1","3","3","2","1"
