Subject,GraphType,Session,Division,ScaleTitle,ScaleValue,MinVal,MaxVal
T003,Scale,Presentation,Post Task,Big Five: Extraversion,11,5,85
T003,Scale,Presentation,Post Task,Big Five: Agreeableness,15,10,60
T003,Scale,Presentation,Post Task,Big Five: Conscientiousness,20,4,32
T003,Scale,Presentation,Post Task,Big Five: Neuroticism,13,5,85
T003,Scale,Presentation,Post Task,Big Five: Openness,20,10,60
T003,Scale,Presentation,Post Task,Perceived Stress Scale,39,4,32
T003,Scale,Presentation,Pre Task,Big Five: Extraversion,11,5,85
T003,Scale,Presentation,Pre Task,Big Five: Agreeableness,15,10,60
T003,Scale,Presentation,Pre Task,Big Five: Conscientiousness,20,4,32
T003,Scale,Presentation,Pre Task,Big Five: Neuroticism,13,5,85
T003,Scale,Presentation,Pre Task,Big Five: Openness,20,10,60
T003,Scale,Presentation,Pre Task,Perceived Stress Scale,39,4,32
T003,Scale,Presentation,Post Exp,Big Five: Extraversion,11,5,85
T003,Scale,Presentation,Post Exp,Big Five: Agreeableness,15,10,60
T003,Scale,Presentation,Post Exp,Big Five: Conscientiousness,20,4,32
T003,Scale,Presentation,Post Exp,Big Five: Neuroticism,13,5,85
T003,Scale,Presentation,Post Exp,Big Five: Openness,20,10,60
T003,Scale,Presentation,Post Exp,Perceived Stress Scale,39,4,32
T115,Scale,SuperSession,Post Task,Big Five: Extraversion,11,5,85
T115,Scale,SuperSession,Post Task,Big Five: Agreeableness,15,10,60
T115,Scale,SuperSession,Post Task,Big Five: Conscientiousness,20,4,32
T115,Scale,SuperSession,Post Task,Big Five: Neuroticism,13,5,85
T115,Scale,SuperSession,Post Task,Big Five: Openness,20,10,60
T115,Scale,SuperSession,Post Task,Perceived Stress Scale,39,4,32
T115,Scale,SuperSession,Pre Task,Big Five: Extraversion,11,5,85
T115,Scale,SuperSession,Pre Task,Big Five: Agreeableness,15,10,60
T115,Scale,SuperSession,Pre Task,Big Five: Conscientiousness,20,4,32
T115,Scale,SuperSession,Pre Task,Big Five: Neuroticism,13,5,85
T115,Scale,SuperSession,Pre Task,Big Five: Openness,20,10,60
T115,Scale,SuperSession,Pre Task,Perceived Stress Scale,39,4,32
T115,Scale,SuperSession,Post Exp,Big Five: Extraversion,11,5,85
T115,Scale,SuperSession,Post Exp,Big Five: Agreeableness,15,10,60
T115,Scale,SuperSession,Post Exp,Big Five: Conscientiousness,20,4,32
T115,Scale,SuperSession,Post Exp,Big Five: Neuroticism,13,5,85
T115,Scale,SuperSession,Post Exp,Big Five: Openness,20,10,60
T115,Scale,SuperSession,Post Exp,Perceived Stress Scale,39,4,32
T115,Scale,Presentation,Post Task,Big Five: Extraversion,11,5,85
T115,Scale,Presentation,Post Task,Big Five: Agreeableness,15,10,60
T115,Scale,Presentation,Post Task,Big Five: Conscientiousness,20,4,32
T115,Scale,Presentation,Post Task,Big Five: Neuroticism,13,5,85
T115,Scale,Presentation,Post Task,Big Five: Openness,20,10,60
T115,Scale,Presentation,Post Task,Perceived Stress Scale,39,4,32
T115,Scale,Presentation,Pre Task,Big Five: Extraversion,11,5,85
T115,Scale,Presentation,Pre Task,Big Five: Agreeableness,15,10,60
T115,Scale,Presentation,Pre Task,Big Five: Conscientiousness,20,4,32
T115,Scale,Presentation,Pre Task,Big Five: Neuroticism,13,5,85
T115,Scale,Presentation,Pre Task,Big Five: Openness,20,10,60
T115,Scale,Presentation,Pre Task,Perceived Stress Scale,39,4,32
T115,Scale,Presentation,Post Exp,Big Five: Extraversion,11,5,85
T115,Scale,Presentation,Post Exp,Big Five: Agreeableness,15,10,60
T115,Scale,Presentation,Post Exp,Big Five: Conscientiousness,20,4,32
T115,Scale,Presentation,Post Exp,Big Five: Neuroticism,13,5,85
T115,Scale,Presentation,Post Exp,Big Five: Openness,20,10,60
T115,Scale,Presentation,Post Exp,Perceived Stress Scale,39,4,32
T115,Scale,SuperSession,Post Task,Big Five: Extraversion,11,5,85
T115,Scale,SuperSession,Post Task,Big Five: Agreeableness,15,10,60
T115,Scale,SuperSession,Post Task,Big Five: Conscientiousness,20,4,32
T115,Scale,SuperSession,Post Task,Big Five: Neuroticism,13,5,85
T115,Scale,SuperSession,Post Task,Big Five: Openness,20,10,60
T115,Scale,SuperSession,Post Task,Perceived Stress Scale,39,4,32
T115,Scale,SuperSession,Pre Task,Big Five: Extraversion,11,5,85
T115,Scale,SuperSession,Pre Task,Big Five: Agreeableness,15,10,60
T115,Scale,SuperSession,Pre Task,Big Five: Conscientiousness,20,4,32
T115,Scale,SuperSession,Pre Task,Big Five: Neuroticism,13,5,85
T115,Scale,SuperSession,Pre Task,Big Five: Openness,20,10,60
T115,Scale,SuperSession,Pre Task,Perceived Stress Scale,39,4,32
T115,Scale,SuperSession,Post Exp,Big Five: Extraversion,11,5,85
T115,Scale,SuperSession,Post Exp,Big Five: Agreeableness,15,10,60
T115,Scale,SuperSession,Post Exp,Big Five: Conscientiousness,20,4,32
T115,Scale,SuperSession,Post Exp,Big Five: Neuroticism,13,5,85
T115,Scale,SuperSession,Post Exp,Big Five: Openness,20,10,60
T115,Scale,SuperSession,Post Exp,Perceived Stress Scale,39,4,32
T115,Scale,Presentation,Post Task,Big Five: Extraversion,11,5,85
T115,Scale,Presentation,Post Task,Big Five: Agreeableness,15,10,60
T115,Scale,Presentation,Post Task,Big Five: Conscientiousness,20,4,32
T115,Scale,Presentation,Post Task,Big Five: Neuroticism,13,5,85
T115,Scale,Presentation,Post Task,Big Five: Openness,20,10,60
T115,Scale,Presentation,Post Task,Perceived Stress Scale,39,4,32
T115,Scale,Presentation,Pre Task,Big Five: Extraversion,11,5,85
T115,Scale,Presentation,Pre Task,Big Five: Agreeableness,15,10,60
T115,Scale,Presentation,Pre Task,Big Five: Conscientiousness,20,4,32
T115,Scale,Presentation,Pre Task,Big Five: Neuroticism,13,5,85
T115,Scale,Presentation,Pre Task,Big Five: Openness,20,10,60
T115,Scale,Presentation,Pre Task,Perceived Stress Scale,39,4,32
T115,Scale,Presentation,Post Exp,Big Five: Extraversion,11,5,85
T115,Scale,Presentation,Post Exp,Big Five: Agreeableness,15,10,60
T115,Scale,Presentation,Post Exp,Big Five: Conscientiousness,20,4,32
T115,Scale,Presentation,Post Exp,Big Five: Neuroticism,13,5,85
T115,Scale,Presentation,Post Exp,Big Five: Openness,20,10,60
T115,Scale,Presentation,Post Exp,Perceived Stress Scale,39,4,32
